Ticker,Price,Market Capitalization,Number Of Shares to Buy
EVRG,62.86,14431595803,N/A
ES,78.73,27451038910,N/A
EXC,42.99,42737516764,N/A
EXPE,93.3,13792061491,N/A
EXPD,110.47,17062774426,N/A
EXR,152.09,20533257215,N/A
XOM,116.07,471162294044,N/A
FFIV,133.74,7365271103,N/A
FDS,417.3,15990721091,N/A
FICO,716.32,18018869861,N/A
FAST,54.745,31261718323,N/A
FRT,96.32,7835938298,N/A
FDX,230.76,58001972982,N/A
FITB,27.73,18885630027,N/A
FRC,14.37,2581524674,N/A
FSLR,214.945,22961005896,N/A
FE,40.705,23293240215,N/A
FIS,56.04,33199893091,N/A
FISV,116.58,73094664873,N/A
FLT,214.43,15758802073,N/A
FMC,123.36,15437489364,N/A
F,11.765,46225956138,N/A
FTNT,66.86,52422672083,N/A
FTV,66.215,23387057416,N/A
FOXA,33.22,17099866704,N/A
FOX,30.46,17105469078,N/A
BEN,26.73,13371897730,N/A
FCX,39.56,56598242337,N/A
GRMN,97.835,18721654921,N/A
IT,303.275,24009357368,N/A
GEHC,85.7,38959942794,N/A
GEN,17.665,11290222088,N/A
GNRC,102.89,6367600759,N/A
GD,225.4,61920474517,N/A
GE,99.55,108537665682,N/A
GIS,87.55,51422885424,N/A
GM,33.27,46399580509,N/A
GPC,167.32,23560153681,N/A
GILD,86.2,107647943769,N/A
GL,107.465,10372646137,N/A
GPN,109.14,28789430180,N/A
GS,339.13,113752099999,N/A
HAL,33.275,30043307776,N/A
HIG,69.16,21605119729,N/A
HAS,51.54,7123851430,N/A
HCA,284.55,78810789120,N/A
PEAK,20.91,11437616102,N/A
HSIC,83.83,10998095293,N/A
HSY,260.48,53419238400,N/A
HES,143.21,43848098521,N/A
HPE,14.305,18537406159,N/A
HLT,147.33,39159722175,N/A
HOLX,84.37,20801510064,N/A
HD,301.035,304848810609,N/A
HON,196.04,130504238508,N/A
HRL,39.805,21754743000,N/A
HST,16.085,11476310600,N/A
HWM,42.72,17592276321,N/A
HPQ,29.29,28860259522,N/A
HUM,489.03,61116349666,N/A
HBAN,11.475,16634580501,N/A
HII,208.85,8338491843,N/A
IBM,125.9,114204596425,N/A
IEX,216.52,16362627724,N/A
IDXX,489.85,40644238816,N/A
ITW,234.815,71576570588,N/A
ILMN,228.23,36060340000,N/A
INCY,74.09,16519478184,N/A
IR,55.045,22290841276,N/A
PODD,320.66,22348070344,N/A
INTC,30.345,125537265000,N/A
ICE,107.43,60129093969,N/A
IFF,95.09,24254366293,N/A
IP,35.95,12559698101,N/A
IPG,37.025,14308738815,N/A
INTU,449.56,126122436887,N/A
ISRG,298.21,104450142057,N/A
IVZ,17.035,7746225691,N/A
INVH,33.215,20322948600,N/A
IQV,200.79,37375293154,N/A
IRM,53.71,15660447758,N/A
JBHT,178.29,18501218554,N/A
JKHY,156.97,11457354417,N/A
J,114.715,14536010964,N/A
JNJ,163.19,509127105408,N/A
JCI,58.355,36073640406,N/A
JPM,139.73,409613046229,N/A
JNPR,30.925,9937555469,N/A
K,67.22,22862194200,N/A
KDP,35.47,49886680446,N/A
KEY,11.7,10820853436,N/A
KEYS,147.865,26340482868,N/A
KMB,141.16,47634971915,N/A
KIM,18.98,11765546573,N/A
KMI,17.2,38665997028,N/A
KLAC,372.31,51557400935,N/A
KHC,39.065,47932713044,N/A
KR,47.865,34341583419,N/A
LHX,201.47,38270542099,N/A
LH,232.83,20605674093,N/A
LRCX,519.75,70133094628,N/A
LW,110.61,16116337912,N/A
LVS,61.61,47086760091,N/A
LDOS,92.09,12618815233,N/A
LEN,111.26,31673867073,N/A
LNC,20.895,3542416566,N/A
LIN,365.94,0,N/A
LYV,66.66,15437872992,N/A
LKQ,56.34,15059101529,N/A
LMT,482.96,122310852997,N/A
L,56.2,12975245981,N/A
LOW,211.085,125881861353,N/A
LYB,93.67,30486643856,N/A
MTB,123.34,20726556581,N/A
MRO,24.09,15005065254,N/A
MPC,124.35,55403757885,N/A
MKTX,330.22,12419096702,N/A
MAR,174.27,53696274379,N/A
MMC,179.26,88744699752,N/A
MLM,351.98,21821692445,N/A
MAS,50.82,11454623551,N/A
MA,375.84,355440532320,N/A
MTCH,34.61,9667399833,N/A
MKC,85.56,22938580557,N/A
MCD,292.08,213227671203,N/A
MCK,359.17,49184462162,N/A
MDT,84.005,111762243591,N/A
MRK,115.16,292344308500,N/A
META,212.31,571113900000,N/A
MET,60.175,29754531506,N/A
MTD,1551.245,34236082635,N/A
MGM,44.58,16623522507,N/A
MCHP,76.6,41961165710,N/A
MU,60.91,66659560102,N/A
MSFT,284.76,2119697494057,N/A
MAA,148.56,17321925007,N/A
MRNA,141.96,54844768764,N/A
MHK,96.17,6124066170,N/A
MOH,273.75,15951090844,N/A
TAP,57.98,11773819964,N/A
MDLZ,71.225,97090646143,N/A
MPWR,460.605,21788919525,N/A
MNST,53.01,27692920068,N/A
MCO,301.9,55328905062,N/A
MS,90.59,151499752439,N/A
MOS,43.12,14320093357,N/A
MSI,290.66,48612905637,N/A
MSCI,545.3,43602182002,N/A
NDAQ,56.3,27530866423,N/A
NTAP,63.3,13540168206,N/A
NFLX,322.38,142425874679,N/A
NWL,12.31,5097907137,N/A
NEM,47.435,37653621331,N/A
NWSA,17.235,9955859486,N/A
NWS,17.42,9958926499,N/A
NEE,79.045,159938393576,N/A
NKE,124.525,194259000000,N/A
NI,28.51,11774135038,N/A
NDSN,217.4,12448535530,N/A
NSC,212.82,52768486388,N/A
NTRS,84.605,17576760749,N/A
NOC,470.69,71567055618,N/A
NCLH,12.71,5362728533,N/A
NRG,34.28,7962211589,N/A
NUE,151.74,38229149811,N/A
NVDA,270.27,667566900000,N/A
NVR,5904.34,19174468141,N/A
NXPI,167.89,43570713745,N/A
ORLY,906.29,56038824422,N/A
OXY,61.82,55521477831,N/A
ODFL,349.48,38425394149,N/A
OMC,92.16,18387279821,N/A
ON,73.32,31642965061,N/A
OKE,65.82,29450484477,N/A
ORCL,94.535,255225782070,N/A
OGN,23.91,6082291122,N/A
OTIS,82.14,33943760060,N/A
PCAR,72.25,37754597088,N/A
PKG,142.15,12776955162,N/A
PARA,22.18,14580036308,N/A
PH,317.83,40766792315,N/A
PAYX,109.02,39302678098,N/A
PAYC,300.26,18107443229,N/A
PYPL,73.53,82559925768,N/A
PNR,53.05,8750077822,N/A
PEP,185.76,255849970313,N/A
PKI,133.42,16865887039,N/A
PFE,39.96,225550318585,N/A
PCG,16.905,33640950000,N/A
PM,96.61,149953005431,N/A
PSX,100.45,46599473820,N/A
PNW,80.295,9093528068,N/A
PXD,224.07,52373121776,N/A
PNC,124.5,49760428796,N/A
POOL,342.105,13367348507,N/A
PPG,142.15,33456137283,N/A
PPL,28.66,21113187296,N/A
PFG,74.935,18207682845,N/A
PG,156.34,368828587969,N/A
PGR,136.73,80037154435,N/A
PLD,123.96,114470818862,N/A
PRU,85.425,31348766166,N/A
PEG,64.065,31953694284,N/A
PTC,126.16,14920085690,N/A
PSA,288.36,50692343089,N/A
PHM,62.8,14086734756,N/A
QRVO,91.88,9177820615,N/A
PWR,165.605,24039248131,N/A
QCOM,117.08,130544200000,N/A
DGX,145.61,16290535195,N/A
RL,114.59,7766910200,N/A
RJF,95.04,20467009506,N/A
RTX,102.16,149481335920,N/A
O,62.02,40966606887,N/A
REG,60.315,10332437617,N/A
REGN,801.14,86128467220,N/A
RF,18.29,17093133017,N/A
RSG,138.98,43951532054,N/A
RMD,227.59,33435113305,N/A
RHI,73.53,7929258875,N/A
ROK,274.98,31562877276,N/A
ROL,39.875,19648176650,N/A
ROP,444.93,47270820346,N/A
ROST,106.25,36343000031,N/A
RCL,61.815,15800096416,N/A
SPGI,352.16,117269280000,N/A
CRM,197.855,197855000000,N/A
SBAC,255.36,27661044378,N/A
SLB,49.37,70509717442,N/A
STX,55.66,11619581600,N/A
SEE,47.01,6787547923,N/A
SRE,156.56,49261610262,N/A
NOW,469.63,95682464572,N/A
SHW,232.61,60025616216,N/A
SPG,110.36,36058106660,N/A
SWKS,106.845,17004718525,N/A
SJM,151.26,16129775427,N/A
SNA,259.83,13804461820,N/A
SEDG,318.72,17895046902,N/A
SO,73.525,80253609642,N/A
LUV,32.18,19144073922,N/A
SWK,79.4,12152585421,N/A
SBUX,107.315,123337129500,N/A
STT,73.9,24864278642,N/A
STLD,107.81,18390805290,N/A
STE,186.45,18511584397,N/A
SYK,302.52,114691982600,N/A
SYF,29.81,12772015712,N/A
SNPS,377.3,57463422732,N/A
SYY,75.13,38136289947,N/A
TMUS,145.79,177773863607,N/A
TROW,111.06,24934492077,N/A
TTWO,125.38,21148412446,N/A
TPR,42.105,9939964570,N/A
TRGP,75.65,17117770927,N/A
TGT,161.92,74542137423,N/A
TEL,127.7,40411509863,N/A
TDY,426.92,20063212984,N/A
TFX,269.61,12662438014,N/A
TER,98.3,15310782361,N/A
TSLA,163.81,513293728071,N/A
TXN,175.92,159419723456,N/A
TXT,67.91,13830567442,N/A
TMO,570.26,219948286326,N/A
TJX,78.915,90954977742,N/A
TSCO,249.25,27391410753,N/A
TT,176.0,40317151600,N/A
TDG,760.73,41534385227,N/A
TRV,178.47,41222387556,N/A
TRMB,47.3,11680815268,N/A
TFC,32.065,42586811697,N/A
TYL,374.71,15698600228,N/A
TSN,60.72,21836733600,N/A
USB,32.895,50388215767,N/A
UDR,41.395,13626121509,N/A
ULTA,541.885,27199965803,N/A
UNP,200.29,122227645274,N/A
UAL,44.165,14484733881,N/A
UPS,195.52,169108798252,N/A
URI,368.87,25594059336,N/A
UNH,484.12,451609696960,N/A
UHS,140.81,10274941184,N/A
VLO,120.08,44567792387,N/A
VTR,44.6,17842385966,N/A
VRSN,216.57,22713711517,N/A
VRSK,196.25,28349613049,N/A
VZ,37.38,156991624185,N/A
VRTX,333.49,85737424659,N/A
VFC,22.76,8845829860,N/A
VTRS,9.675,11579175053,N/A
VICI,33.025,33163867417,N/A
V,235.14,444512082695,N/A
VMC,170.33,22663582629,N/A
WAB,100.05,18007568184,N/A
WBA,35.19,30361781387,N/A
WMT,151.58,408607526324,N/A
WBD,13.615,33084858205,N/A
WM,165.73,67413528719,N/A
WAT,302.4,17847718459,N/A
WEC,97.15,30644464687,N/A
WFC,41.05,155049455422,N/A
WELL,75.55,37495050684,N/A
WST,365.18,27121895959,N/A
WDC,32.825,10481755646,N/A
WRK,30.67,7810170185,N/A
WY,30.965,22694000161,N/A
WHR,140.97,7684351106,N/A
WMB,29.735,36241368724,N/A
WTW,240.74,25630600285,N/A
GWW,666.69,33509642796,N/A
WYNN,113.0,12846027806,N/A
XEL,70.53,38807171202,N/A
XYL,104.08,18798700832,N/A
YUM,137.77,38590460286,N/A
ZBRA,287.37,14770628623,N/A
ZBH,138.05,28849724341,N/A
ZION,30.01,4444452731,N/A
ZTS,175.68,81407778267,N/A
